name,shelter_type,area_m2,estimated_capacity,lat,lon,centroid,nearby_population_density,nearby_population_estimate,estimated_coverage_ratio,Distance_to_Roads,Distance_to_Faults,Population_Density,LandUse_Score,Distance_to_Roads_norm,Distance_to_Faults_norm,Population_Density_norm,LandUse_Score_norm,Distance_to_Roads_w,Distance_to_Faults_w,Population_Density_w,LandUse_Score_w,score,rank
Park_063,public_park,2136.8329395795145,610,38.661990995931156,39.16545897524927,POINT (39.16545897524927 38.661990995931156),0.0,0.0,<NA>,3.080313146245229,24882.285238840737,9500,0.2,0.018895957700783783,0.40079470342586987,0.9999999999998794,0.9999999900000001,0.010542054801267272,0.10552924541203153,0.1218999999999853,0.056899999431,0.2948712996442841,66
Park_064,public_park,1622.7932902710493,463,38.67263600009202,39.17682344996868,POINT (39.17682344996868 38.67263600009202),0.0,0.0,<NA>,7.740496152292895,25569.857788252117,9500,0.2,0.04748351253024255,0.4151665512691519,0.9999999999998794,0.9999999900000001,0.026491051640622317,0.10931335294916769,0.1218999999999853,0.056899999431,0.3146044040207753,10
Park_065,public_park,1535.5371017042867,438,38.67278852807834,39.17567143234195,POINT (39.17567143234195 38.67278852807834),0.0,0.0,<NA>,3.293409103784958,25625.31052336489,9500,0.2,0.020203179404780683,0.4163256409858907,0.9999999999998794,0.9999999900000001,0.011271353789927142,0.10961854127158502,0.1218999999999853,0.056899999431,0.29968989449249744,43
Park_066,public_park,19257.005779446925,5502,38.651773945054096,39.143605411133734,POINT (39.143605411133734 38.651773945054096),0.0,0.0,<NA>,1.5180004400534737,24548.269838148164,9500,0.2,0.009312063658198607,0.3938130132461556,0.9999999999998794,0.9999999900000001,0.005195200314909002,0.10369096638771276,0.1218999999999853,0.056899999431,0.28768616613360704,109
Park_067,public_park,6054.064851195298,1729,38.66026327226461,39.1454227568755,POINT (39.1454227568755 38.66026327226461),0.0,0.0,<NA>,2.813350356235262,25355.65413262542,9500,0.2,0.017258293817856617,0.41068920215337185,0.9999999999998794,0.9999999900000001,0.009628402120982206,0.1081344669269828,0.1218999999999853,0.056899999431,0.2965628684789503,55
Park_068,public_park,1350.1853203479595,385,38.66561793466112,39.195326408253244,POINT (39.195326408253244 38.66561793466112),0.0,0.0,<NA>,3.803601548411754,24211.624919649115,9500,0.2,0.023332917972003583,0.3867763600958454,0.9999999999998794,0.9999999900000001,0.013017434936580799,0.10183821561323608,0.1218999999999853,0.056899999431,0.2936556499808022,79
Park_069,public_park,2347.6399328308257,670,38.68271561820455,39.215415663267365,POINT (39.215415663267365 38.68271561820455),0.0,0.0,<NA>,2.593905872503598,25276.86647087948,9500,0.2,0.015912127540146054,0.409042358794791,0.9999999999998794,0.9999999900000001,0.008877375954647482,0.10770085307066846,0.1218999999999853,0.056899999431,0.29537822845630124,63
Park_070,public_park,2861.091683220008,817,38.682331774520875,39.218133343258195,POINT (39.218133343258195 38.682331774520875),0.0,0.0,<NA>,1.420926977184742,25142.750319493807,9500,0.2,0.008716573537178902,0.40623902273564855,0.9999999999998794,0.9999999900000001,0.004862976376392109,0.10696273468629626,0.1218999999999853,0.056899999431,0.29062571049367364,98
Park_071,public_park,10450.029560115323,2985,38.675899697390676,39.21661672242832,POINT (39.21661672242832 38.675899697390676),0.0,0.0,<NA>,3.5339466039966974,24512.369442932748,9500,0.2,0.021678739263035252,0.39306261240774026,0.9999999999998794,0.9999999900000001,0.012094568634847366,0.103493385846958,0.1218999999999853,0.056899999431,0.29438795391279066,71
Park_072,public_park,4359.261209960701,1245,38.66050244103041,39.184603771912634,POINT (39.184603771912634 38.66050244103041),0.0,0.0,<NA>,1.4876565439686984,24047.9354038781,9500,0.2,0.009125921227324715,0.3833548726961295,0.9999999999998794,0.9999999900000001,0.005091351452724458,0.10093733798089088,0.1218999999999853,0.056899999431,0.28482868886460067,115
