landuse,area_m2,population_density,population_estimate,density_level,lat,lon
residential,97582.37291342371,9500,927.0325426775252,yüksek,38.45715807091803,38.68637483007348
residential,15441.897802642483,9500,146.6980291251036,yüksek,38.46783051195254,38.758180741213415
residential,11630.895841555262,9500,110.493510494775,yüksek,38.45342345697321,38.684776248317576
residential,106819.47524162833,9500,1014.7850147954691,yüksek,38.787921411184094,38.8303839214459
residential,311663.3601416087,9500,2960.8019213452826,yüksek,38.80255356260354,39.91416372928508
residential,8198.417727910364,9500,77.88496841514846,yüksek,38.796395202739866,39.91311076109655
residential,23285.73468958961,9500,221.2144795511013,yüksek,38.80091133329867,39.859221133820974
residential,57998.51261969048,9500,550.9858698870596,yüksek,38.728380910841835,39.63406519319448
residential,68550.55224545296,9500,651.2302463318031,yüksek,38.86101872527368,38.93606522249743
residential,41954.68931324776,9500,398.56954847585376,yüksek,38.740173265707284,39.70705338677333
residential,24467.232666903197,9500,232.43871033558037,yüksek,38.81621396441097,38.87110049321624
residential,54493.89705703548,9500,517.692022041837,yüksek,38.76227998717631,39.797213591442606
residential,27730.76603482927,9500,263.4422773308781,yüksek,38.77004892399789,39.81599680667268
residential,74358.63818126853,9500,706.407062722051,yüksek,38.80055258230769,39.852191876001434
residential,74358.63818126853,9500,706.407062722051,yüksek,38.80055258230769,39.852191876001434
residential,44067.69952149309,9500,418.6431454541843,yüksek,38.39378957918876,39.675989978765166
residential,11463.460818581398,9500,108.90287777652328,yüksek,38.39626606552318,39.67877099843671
residential,14515.370881404226,9500,137.89602337334014,yüksek,38.74481399824834,39.3238758225754
residential,16906.243404563244,9500,160.60931234335084,yüksek,38.76709347574672,39.34927212444775
residential,15283.777879177022,9500,145.1958898521817,yüksek,38.74596903548674,39.32183691251172
residential,28129.24533026364,9500,267.22783063750455,yüksek,38.76783440858268,39.35228420366067
residential,28129.24533026364,9500,267.22783063750455,yüksek,38.76783440858268,39.35228420366067
industrial,587753.8880964828,1200,705.3046657157794,düşük,38.62961993255917,39.34104424548883
residential,348945.0058131901,9500,3314.9775552253054,yüksek,38.58661409643695,39.06747594470581
residential,10968.212556645072,9500,104.19801928812818,yüksek,38.48319922671366,39.30426335692778
