name,highway,length_m,importance
,residential,250.42685497084457,6
,residential,515.7534542087494,6
,residential,746.7117246560525,6
,residential,282.27882867766226,6
,tertiary,3572.5965670436103,5
,residential,322.3135581149086,6
,tertiary,498.4177747296866,5
,residential,450.4314367289906,6
,tertiary,76.3848114328879,5
,residential,768.0038333962416,6
,tertiary,287.8941622002412,5
,residential,274.14316406811514,6
,residential,571.615593794235,6
,tertiary,1015.4599548332402,5
,tertiary,1466.6130447116666,5
,secondary,1434.7812605060606,4
,secondary,191.58889767476424,4
,secondary,144.51311157053152,4
,secondary,57.06300083598935,4
,secondary,60.352291565606166,4
Elazığ Caddesi,secondary,715.539746955207,4
Elazığ Caddesi,secondary,716.602318627494,4
,secondary,178.75761330299267,4
,secondary,178.67003633488383,4
Feribot yolu,secondary,11466.862108529609,4
Hıdırbaba yolu,secondary,3051.3624691598734,4
Hıdırbaba yolu,secondary,10746.41645318989,4
,residential,345.227890812906,6
,residential,1177.8249621333623,6
,tertiary,610.1319302571507,5
,tertiary,5011.5042971202565,5
,residential,89.47085691400764,6
,tertiary,21.96262357976065,5
,residential,231.85066011738544,6
,residential,265.8849978608242,6
,residential,276.81301824692724,6
,secondary,31.72879707770261,4
,residential,197.63154573835405,6
,residential,712.8164398125416,6
,residential,205.7329612225642,6
,residential,512.8729740999661,6
,residential,221.4178493545838,6
,residential,552.0598528363221,6
,residential,287.09014969868366,6
,residential,218.43988871699003,6
,residential,389.92213523376984,6
Kuşsarayı yolu,secondary,5737.3605078890905,4
Kuşsarayı yolu,secondary,4822.753407455629,4
Kuşsarayı yolu,secondary,4149.6117006092745,4
,tertiary,4640.719861280169,5
,residential,660.6494766619649,6
,tertiary,2753.56403278643,5
,tertiary,815.5207327778977,5
,tertiary,3203.5643218596892,5
,residential,587.2202394603797,6
,residential,648.161675156,6
,residential,621.355927421575,6
,residential,561.2180204997658,6
,residential,673.0345339306,6
,residential,555.6979566799938,6
,tertiary,4304.868491137503,5
,tertiary,3918.537827862372,5
,residential,611.3594017173521,6
,residential,604.8997542094196,6
,residential,599.7151648806503,6
,secondary,64.80019229851396,4
Elazığ-Keban yolu,trunk,10799.347592965387,2
Elazığ-Keban yolu,trunk,5983.07795350246,2
Elazığ-Keban yolu,trunk,5983.07795350246,2
Elazığ-Keban yolu,trunk,8989.231185560457,2
,tertiary,549.3136197322635,5
,tertiary,8510.563599324605,5
,tertiary,8510.563599324605,5
,tertiary,1697.0490305291528,5
,residential,1230.7325723007084,6
,residential,755.5653768697043,6
,tertiary,6979.498782862597,5
,residential,507.3882205964008,6
,tertiary,2839.1792912408628,5
,tertiary,5822.729372526698,5
,tertiary,405.9453365987643,5
,tertiary,46.18087371168903,5
,tertiary,7104.975305133872,5
,tertiary,4117.773670361798,5
,tertiary,9261.638905584225,5
,tertiary,9261.638905584225,5
,tertiary,3105.149691309659,5
,residential,201.13532158884698,6
,tertiary,4968.251368024295,5
,tertiary,4497.071753667684,5
,tertiary,4497.071753667684,5
,residential,730.3773515874742,6
,residential,301.2476076763088,6
,residential,301.2476076763088,6
,residential,226.16155423471866,6
,tertiary,3872.174486469529,5
,tertiary,6960.929118788155,5
,tertiary,5475.692684853879,5
,residential,487.7013757516364,6
,residential,572.7630936680924,6
,residential,207.92635596244713,6
,residential,358.379205573824,6
,tertiary,2963.7230374268984,5
,residential,1523.150483103109,6
,tertiary,2162.168649683779,5
,residential,281.33151941566695,6
,residential,562.0663937056228,6
,residential,370.28281991662953,6
,tertiary,3798.841005043578,5
,residential,205.66878450403473,6
,residential,342.13181535968624,6
,tertiary,4260.71937947547,5
,residential,213.50038129347897,6
,tertiary,1281.9647956630674,5
Diyarbakır-Elazığ yolu,trunk,111.63734720053483,2
,tertiary,3643.9837142215556,5
,tertiary,1167.4985870849953,5
,tertiary,75.54518974201802,5
,tertiary,28.02192625582445,5
Atatürk Caddesi,tertiary,934.3569348184844,5
,secondary,635.5414074286848,4
Fikret M. Caddesi,secondary,1182.4308900967735,4
,tertiary,142.3480870261394,5
,tertiary,7930.705436287505,5
,tertiary,7930.705436287505,5
,secondary,1052.6870615439425,4
Necdet Doğan Caddesi,secondary,1000.2607349438721,4
,secondary,754.9497650985305,4
,residential,3504.6214457017927,6
,residential,3504.6214457017927,6
,residential,424.7104916844623,6
